bedrooms,bathrooms,floors,yr_built,price
2,2.25,2.0,1979,2150000.0
2,1.75,2.0,2006,3350000.0
4,2.5,2.0,1988,2435000.0
5,2.75,2.0,2001,10998800.0
3,1.0,1.0,1962,1530000.0
3,1.5,1.0,1939,4300000.0
3,1.5,1.0,1939,7000000.0
4,2.5,1.0,1946,9050000.0
3,1.75,1.0,1967,2475000.0
4,1.5,1.0,1975,1990000.0
3,1.75,1.0,1980,3140000.0
3,2.5,2.0,1992,4375000.0
3,2.5,1.5,1910,8508300.0
3,2.0,1.5,1929,5550000.0
3,2.25,2.0,1983,6999500.0
3,2.5,2.0,1950,10880000.0
3,1.0,1.0,1954,2900000.0
3,2.5,1.0,1978,3750000.0
3,1.0,1.5,1939,4600000.0
2,1.75,1.0,1985,1885000.0
4,2.5,2.0,1991,6800000.0
5,1.75,2.0,1942,4700000.0
4,2.5,2.0,1984,5977500.0
3,1.75,1.0,1905,5700000.0
3,1.75,1.0,1980,2725000.0
3,1.75,1.0,1971,3299500.0
4,2.5,2.0,2001,4800000.0
3,3.5,2.0,1900,7405000.0
3,3.5,3.0,2010,5185000.0
2,1.0,1.0,1945,2054250.0
4,2.0,1.0,1950,1718000.0
4,1.0,1.5,1925,5350000.0
3,2.5,1.0,1964,6600000.0
3,2.0,1.0,1987,3915000.0
2,1.0,1.0,1953,3950000.0
4,1.75,1.5,1924,4450000.0
3,2.25,2.0,1990,7700000.0
4,2.75,1.5,1914,14500000.0
3,2.25,1.0,1967,4450000.0
4,2.25,1.0,1978,2600000.0
5,3.5,2.0,1926,8225000.0
4,2.5,2.0,2004,4300000.0
3,1.75,1.0,1986,2120000.0
4,2.25,1.0,1986,6605000.0
3,3.5,1.5,1989,7840000.0
3,2.5,2.0,2014,4532460.0
4,3.5,3.0,2005,6750000.0
3,1.75,1.0,1956,1990000.0
4,1.75,1.0,1968,2200000.0
4,2.25,1.0,1968,4520000.0
2,1.0,1.0,1981,3825000.0
3,2.25,3.0,2014,5199500.0
2,1.0,1.0,1925,6650000.0
5,2.5,1.0,1968,5277000.0
3,1.0,1.0,1962,2050000.0
3,1.0,1.0,1923,4200000.0
4,2.25,1.0,1961,5000000.0
4,2.5,2.0,1994,9215000.0
4,1.0,2.0,1905,8900000.0
2,2.5,2.0,2007,4300000.0
5,2.0,1.0,1960,2580000.0
3,1.0,1.0,1947,5110000.0
3,2.0,2.0,1990,5321700.0
3,1.0,1.5,1947,5600000.0
3,1.0,1.0,1954,2829500.0
4,3.25,2.0,2006,22500000.0
1,1.0,1.0,1942,3500000.0
3,1.0,1.0,1967,2150000.0
5,3.5,2.0,1996,6500000.0
4,2.75,1.0,1967,3200000.0
3,2.0,1.5,1916,2470000.0
4,1.75,1.0,1968,3200000.0
5,2.25,1.0,1962,2550000.0
3,1.75,1.0,1962,4380000.0
3,2.5,2.0,2000,9000000.0
3,2.75,1.0,1979,4410000.0
3,2.0,1.0,1975,4200000.0
3,1.75,1.0,1976,3700000.0
2,1.75,1.0,1949,2699500.0
4,2.5,2.0,1999,8071000.0
3,2.5,1.0,1979,6530000.0
3,2.0,1.0,1964,3715000.0
3,1.75,1.0,1954,2840000.0
3,1.75,1.0,1978,2720000.0
3,1.5,1.5,1955,3130000.0
4,2.5,2.0,1984,9175000.0
4,2.25,2.0,1980,6730000.0
3,2.5,2.0,2008,4250000.0
5,2.75,1.0,1986,3999500.0
3,1.0,1.0,1901,3850000.0
3,1.5,1.0,1975,2699500.0
2,1.0,1.0,1949,3300000.0
3,2.5,2.0,1988,2600000.0
4,3.0,1.5,1925,4700000.0
4,3.0,2.0,1961,5890000.0
2,1.5,2.0,1996,1635000.0
4,2.75,2.0,1993,8350000.0
5,3.0,1.0,1986,10950000.0
4,1.75,1.0,1969,2690000.0
3,2.5,2.0,1987,5600000.0
4,1.0,1.5,1901,6150000.0
3,2.25,1.0,1975,5851880.0
3,1.75,1.0,1977,3050000.0
3,1.0,1.0,1959,1669500.0
3,2.5,1.0,1959,7990000.0
3,2.5,1.0,1962,4000000.0
3,1.0,1.0,1948,2300000.0
3,2.5,2.0,2003,2568830.0
4,2.0,1.5,1920,4230000.0
3,2.5,2.0,2007,4650000.0
3,2.5,2.0,1997,4400000.0
3,1.75,1.0,1969,3850000.0
3,1.0,1.0,1943,2100000.0
3,2.5,2.0,1994,2970000.0
3,1.0,1.0,1952,4700000.0
3,1.5,1.0,1976,2265000.0
3,1.0,1.0,1962,2742500.0
4,1.75,1.0,1966,8400000.0
3,2.5,2.0,2010,6779000.0
3,1.0,1.0,1915,4250000.0
2,0.75,1.0,1941,1802500.0
6,3.0,2.0,1920,4640000.0
4,2.25,2.0,1993,3200000.0
3,2.25,2.0,2014,6255040.0
4,2.5,1.0,1983,5925000.0
3,2.5,2.0,2005,4650000.0
4,2.75,2.0,1978,4770000.0
2,1.0,1.0,1923,2800000.0
5,3.0,1.0,1957,15050000.0
3,2.5,2.0,2000,4458380.0
2,2.25,1.0,1947,10720000.0
2,1.5,1.0,1947,4670000.0
4,2.5,2.0,1999,6860000.0
3,2.0,1.0,1961,2799500.0
4,2.25,2.0,1987,5270000.0
3,2.25,1.0,1966,3250000.0
3,2.25,2.0,1994,3280000.0
3,2.25,1.0,1942,3900000.0
2,2.0,1.0,2005,4799500.0
4,2.25,1.0,1978,2649500.0
3,1.0,1.0,1961,2350000.0
3,2.5,2.0,2004,5165000.0
2,1.75,2.0,1915,6550000.0
4,2.75,1.0,1960,5000000.0
6,2.75,1.0,1978,3150000.0
2,1.0,1.0,1961,2130000.0
3,1.5,1.5,1947,4750000.0
5,4.0,2.0,1983,10250000.0
3,2.0,1.0,1976,4160000.0
4,1.0,1.5,1904,4100000.0
3,3.5,2.0,1993,8000000.0
6,2.5,1.0,1965,4720000.0
3,1.75,1.0,1968,2250000.0
2,1.0,1.0,1940,2100000.0
2,1.0,1.5,1925,4550000.0
3,1.0,1.0,1954,2250000.0
2,1.0,1.0,1918,4800000.0
3,2.5,2.0,1990,3630000.0
4,2.5,1.0,2000,24000000.0
2,1.5,1.0,1954,1810000.0
4,2.0,1.0,1976,2500000.0
3,1.75,1.0,1918,4810000.0
3,2.0,1.0,1978,2600000.0
4,2.5,2.0,2001,4550000.0
3,2.25,2.0,1991,4150000.0
3,1.0,1.0,1953,3495000.0
3,2.5,2.0,1987,2450000.0
2,2.0,1.5,1928,5925000.0
4,1.75,1.0,1955,3850000.0
3,1.75,1.0,1974,3150000.0
3,1.0,1.0,1979,2550000.0
4,2.5,2.0,2006,6930000.0
3,1.0,1.5,1911,7800000.0
3,1.75,1.0,1960,2370000.0
3,2.25,2.0,1979,5250000.0
2,1.0,1.0,1930,4250000.0
1,0.75,1.0,1936,3699000.0
4,2.5,2.0,1988,2900000.0
3,1.0,1.0,1954,2850000.0
2,1.0,1.0,1937,4150000.0
3,2.5,1.0,1979,2725000.0
4,3.25,1.5,1982,29000000.0
4,4.75,2.0,1989,13650000.0
2,1.0,1.0,1939,4360000.0
3,1.0,1.0,1967,2100000.0
3,1.0,1.0,1961,2360000.0
3,1.75,1.0,1954,3310000.0
3,2.5,2.0,2006,3650000.0
3,2.0,1.0,1960,4500000.0
4,2.75,2.0,2014,7700000.0
4,2.5,1.0,1997,4550000.0
3,1.75,1.0,1908,4050000.0
4,1.75,1.0,1969,3049000.0
2,1.0,1.0,1931,1700000.0
5,3.0,2.0,1905,20500000.0
4,2.5,2.0,2005,7800000.0
3,3.0,1.0,1988,3300000.0
4,2.5,2.0,1992,3700000.0
5,2.25,1.0,1979,4670000.0
3,1.75,1.0,1980,4050000.0
5,2.25,1.0,1985,6750000.0
2,1.0,1.0,1954,5000000.0
4,2.5,2.0,1968,3899990.0
4,1.75,1.0,1975,6300000.0
4,2.5,2.0,1992,3600000.0
4,3.0,2.0,1986,5800000.0
3,2.0,2.0,1929,5500000.0
4,2.5,2.0,1994,8790000.0
3,2.0,1.0,1993,2650000.0
3,2.5,2.0,1990,4465000.0
3,1.5,1.0,1963,4040000.0
3,1.75,1.0,1957,2675000.0
4,5.0,1.0,2002,30750000.0
3,2.5,2.0,1998,3350000.0
3,2.5,1.0,1948,5760000.0
3,2.5,2.0,2006,2086330.0
3,2.25,1.0,1964,3150000.0
3,1.75,1.0,1913,7250000.0
4,2.75,1.0,1965,5500000.0
4,2.25,2.0,1984,6107500.0
2,1.0,1.5,1908,5507000.0
4,2.75,2.0,1960,6650000.0
4,2.5,1.5,1928,8340000.0
5,1.75,1.5,1915,2010000.0
5,2.5,2.0,1921,23840000.0
4,3.25,1.0,1997,13840000.0
4,3.25,1.0,1997,14000000.0
4,2.25,1.0,1979,3050000.0
3,2.0,1.0,1948,4870000.0
3,2.5,1.0,1988,3900000.0
2,1.0,1.0,1916,5480000.0
4,1.0,1.0,1943,2687500.0
5,2.75,2.0,2013,8199000.0
3,2.25,2.0,1984,5200000.0
3,2.0,1.0,2003,2300000.0
3,1.75,1.0,1969,2400000.0
2,1.0,1.0,1922,2320000.0
2,1.0,1.0,1922,2405000.0
3,2.5,2.0,1987,2749750.0
4,2.0,1.5,1922,7400000.0
3,1.0,1.0,1952,1863750.0
3,2.25,1.0,1977,7900000.0
4,3.5,2.0,1951,8800000.0
6,1.75,2.0,1955,2790000.0
3,2.0,1.0,1991,2950000.0
2,1.0,1.0,1924,6400000.0
4,2.0,2.0,1968,9400000.0
4,2.5,2.0,2003,2600000.0
3,2.75,1.0,2004,5599000.0
4,2.0,1.5,1911,7915000.0
3,1.75,1.0,1954,2650000.0
3,1.75,1.0,1954,2450000.0
4,1.75,2.0,1962,4850000.0
4,3.5,2.0,2010,6840000.0
3,1.75,1.0,1957,4250000.0
4,1.75,1.0,1991,3096000.0
4,2.5,2.0,2002,5522500.0
4,1.0,1.0,1943,1650000.0
4,1.0,1.0,1943,2399000.0
2,1.0,1.0,1930,3200000.0
3,2.0,1.0,1987,2066000.0
4,1.75,1.0,1973,3870000.0
1,0.75,1.0,1967,2990000.0
4,2.75,2.0,1965,8550000.0
3,1.0,1.0,1954,3150000.0
2,1.0,1.0,1907,4375000.0
4,1.5,1.0,1969,2520000.0
4,1.75,1.0,1955,3750000.0
4,2.5,2.0,2005,3000000.0
4,1.0,1.5,1954,4200000.0
3,1.0,1.0,1928,9000000.0
3,2.5,2.0,2000,6799000.0
3,2.5,2.0,1992,4630000.0
5,2.5,2.0,1978,3800000.0
4,2.5,2.0,1994,3295000.0
3,2.5,1.0,2013,6049500.0
5,2.5,1.0,1966,7950000.0
3,2.0,2.0,1994,4650000.0
4,2.5,2.0,2002,6730000.0
4,2.5,2.0,1991,8100000.0
4,2.75,1.0,1989,7850000.0
4,3.0,1.0,1986,3380000.0
3,2.25,2.0,1993,2800000.0
4,2.25,1.0,1954,3150000.0
4,2.25,1.0,1954,5300000.0
5,3.0,2.0,2004,3800000.0
3,2.25,2.0,1994,2970000.0
4,2.5,2.0,2004,7300000.0
3,1.75,1.0,1940,4500000.0
3,3.0,1.0,1997,2750000.0
4,2.0,2.0,1960,5950000.0
3,1.5,1.5,1904,4350000.0
2,1.5,1.0,1954,2700000.0
3,3.0,2.0,1986,9500000.0
4,2.25,2.0,2001,3890000.0
4,2.25,1.0,1968,5600000.0
5,3.5,2.0,1998,13500000.0
4,2.25,2.0,1969,7990000.0
3,2.0,1.0,1983,3655000.0
3,2.0,1.0,1979,2523500.0
4,2.5,2.0,1993,4039500.0
4,1.5,1.0,1954,3850000.0
4,1.0,1.5,1957,3450000.0
3,2.75,2.0,1979,4900000.0
3,2.5,2.0,2005,3300000.0
4,2.75,2.0,1953,9270000.0
4,2.5,2.0,1983,11180000.0
2,1.0,1.0,1950,3300000.0
5,2.25,1.0,1958,5300000.0
4,2.0,1.0,1962,3650000.0
3,2.5,1.5,1909,3787500.0
4,1.75,1.5,1968,2699000.0
3,3.5,2.0,2008,5570000.0
4,1.75,1.0,1974,3600000.0
2,1.0,1.0,1937,3520000.0
3,2.5,2.0,1994,4370000.0
4,2.5,2.0,1994,3225000.0
3,3.25,2.0,2001,6500000.0
3,2.0,3.0,2001,4500000.0
3,2.0,1.0,1998,2785000.0
4,2.5,2.0,1995,3649500.0
4,3.5,1.0,1986,8400000.0
3,2.5,2.0,1991,2680000.0
2,1.0,1.0,2006,5175340.0
3,2.5,2.0,1978,6329250.0
3,2.5,2.0,1995,5775000.0
4,1.5,1.5,1920,3390000.0
3,1.75,1.0,1967,5700000.0
4,1.75,1.0,1964,5635000.0
4,2.25,1.0,1962,4230000.0
3,2.25,2.0,2012,3550000.0
5,4.25,2.0,1999,15500000.0
2,1.0,1.0,1941,4820000.0
3,1.75,1.0,1955,6250000.0
3,2.5,2.0,1988,5380000.0
3,2.5,2.0,1985,3800000.0
2,1.0,1.0,1909,3750000.0
3,2.5,1.0,1996,2450000.0
5,1.75,1.0,1947,3100000.0
3,2.0,1.0,1976,13000000.0
4,2.0,1.0,1971,3970000.0
3,2.5,2.0,2005,3650000.0
4,3.0,2.0,1990,3285000.0
4,3.0,2.0,1987,9880000.0
4,2.5,1.5,1922,10000000.0
3,2.5,2.0,2005,2370000.0
4,2.5,2.0,2003,5250000.0
4,2.5,1.0,1976,7490000.0
5,2.5,2.0,1983,7225000.0
3,2.5,2.0,1991,8430000.0
2,2.0,3.0,2000,4380000.0
3,1.75,1.0,1977,5780000.0
3,1.5,1.0,1954,2279500.0
3,2.25,2.0,1974,1960000.0
2,1.0,1.0,1953,6410000.0
3,1.5,1.0,1980,3500000.0
3,1.0,1.0,1960,2050000.0
3,1.75,1.0,1968,4000000.0
3,2.5,1.0,2005,10300000.0
3,2.0,1.0,1972,5050000.0
5,2.5,1.0,1975,4750000.0
3,2.25,1.0,1977,5200000.0
3,4.5,2.0,1977,14500000.0
3,1.75,1.0,1965,3335000.0
3,1.0,1.0,1976,2320000.0
3,2.75,1.0,1983,6911000.0
3,1.75,1.0,1960,8110000.0
3,2.5,2.0,2001,5510000.0
3,2.5,2.0,1994,4965000.0
3,3.0,2.0,1980,7050000.0
4,2.5,1.0,1966,5780000.0
3,1.75,1.0,1986,2550000.0
4,3.5,2.0,2007,10500000.0
3,2.25,2.0,1989,3480000.0
3,2.0,2.0,1985,2300000.0
4,2.25,2.0,1988,3595000.0
3,1.0,1.0,1953,3300000.0
1,0.75,1.0,1912,800000.0
3,1.75,1.0,1954,4650000.0
4,2.5,2.0,1997,3250000.0
3,2.0,1.0,1947,3405000.0
3,2.5,2.0,1993,3425000.0
2,2.0,2.0,1930,2909000.0
3,4.25,2.0,2000,8687000.0
4,2.75,2.0,1928,11990000.0
4,3.25,2.0,2000,11500000.0
4,2.75,2.0,2011,8599000.0
4,2.25,2.0,2003,5200000.0
3,2.5,2.0,2005,4600000.0
3,1.5,1.0,1949,4389240.0
2,1.0,1.0,1918,3150000.0
4,2.75,1.0,1975,5900000.0
4,1.75,1.0,1955,3785000.0
3,2.5,2.0,1990,3285000.0
3,3.0,2.0,1973,8499500.0
3,1.5,1.0,1950,5250000.0
4,3.25,2.5,1993,13850000.0
4,2.5,1.0,1978,2950000.0
6,3.5,2.0,1998,10670000.0
2,2.0,1.0,1917,2079500.0
4,2.75,2.0,2002,6999000.0
5,2.5,2.0,1977,12800000.0
4,1.5,1.0,1963,4520000.0
3,2.0,1.0,1987,3700000.0
3,1.75,1.0,1968,2320000.0
5,2.5,2.0,1960,6699500.0
3,2.0,1.0,1972,3975000.0
2,2.5,2.0,2004,4900000.0
4,2.0,2.0,1925,7250000.0
3,2.75,1.0,1958,2990000.0
2,1.5,1.5,1900,6250000.0
3,2.5,2.0,2000,4375000.0
4,2.5,2.0,2003,6500000.0
2,1.0,1.0,1929,4750000.0
3,2.0,1.0,1966,3420000.0
4,2.5,2.0,1999,11973500.0
3,1.5,1.0,1963,2800000.0
2,1.75,1.0,1993,2400000.0
3,1.0,1.5,1924,5290000.0
3,1.0,1.0,1941,4420000.0
2,1.0,1.0,1946,6150000.0
4,3.75,2.0,2006,14850000.0
4,1.75,1.0,1981,5850000.0
4,2.5,2.0,2005,4800000.0
5,3.5,2.0,1990,10950000.0
4,1.0,1.5,1949,2900000.0
3,1.75,1.0,1951,6150000.0
2,1.0,1.0,1950,3000000.0
3,1.0,1.5,1932,3080000.0
3,2.5,2.0,2001,7500000.0
4,2.25,2.5,1916,22500000.0
4,3.25,2.0,2005,8900000.0
3,1.0,1.0,1958,2880000.0
2,1.0,1.0,1943,1900000.0
5,3.0,1.0,2005,5150000.0
4,1.5,1.0,1930,2350000.0
2,1.0,1.0,1951,2750000.0
2,2.0,1.0,1952,7275000.0
4,2.5,2.0,2003,6500000.0
6,5.0,2.0,2001,16000000.0
4,1.0,1.5,1944,3650000.0
3,1.75,1.0,1984,6620000.0
3,2.5,1.0,1978,2705000.0
2,1.5,2.0,1978,2000000.0
4,3.25,2.0,1987,9700000.0
3,1.5,1.0,1962,1600000.0
3,1.0,1.0,1971,2040000.0
3,2.25,2.0,1985,3580000.0
4,1.75,1.0,1979,4520000.0
2,2.0,1.0,1900,5950000.0
3,2.0,1.0,1994,2490000.0
4,2.5,2.0,1999,3469000.0
3,2.5,2.0,1976,21250000.0
4,2.5,2.0,2003,2800000.0
4,1.75,1.0,1973,3188880.0
3,2.25,1.0,1967,5300000.0
3,2.25,2.0,1983,3750000.0
4,2.5,2.0,1988,9100000.0
4,2.5,2.0,1991,7820000.0
2,2.0,2.0,2008,2599500.0
4,2.75,1.0,1979,3150000.0
2,1.0,1.0,1943,2150000.0
3,1.75,1.0,1946,7050000.0
3,3.0,2.0,1952,14500000.0
3,1.75,2.0,1949,4510000.0
2,1.0,1.0,1943,2610000.0
3,1.5,1.0,1956,3960000.0
4,2.5,2.0,1999,7250000.0
7,3.5,2.0,1965,19500000.0
4,1.0,1.5,1959,2380000.0
6,1.75,2.0,1973,7500000.0
4,2.5,2.0,1998,3315000.0
4,3.0,1.0,1978,4600000.0
4,2.25,1.0,1982,4049500.0
3,2.5,2.0,2014,8800000.0
4,2.5,2.0,1997,8630000.0
3,1.75,1.0,1960,6387000.0
3,2.5,2.0,2008,4350000.0
3,1.0,1.5,1959,2600000.0
5,2.75,1.5,1927,6715000.0
3,1.0,1.5,1907,6100000.0
2,0.75,1.0,1937,4050000.0
4,2.5,2.0,2003,3389000.0
4,4.0,2.0,2004,7200000.0
5,3.0,1.5,1927,4420000.0
5,2.75,1.5,1902,6500000.0
3,1.75,1.0,1981,2635000.0
2,1.0,1.0,1963,3000000.0
3,2.5,2.0,2009,2660000.0
4,4.0,2.5,2009,9300000.0
4,2.5,2.0,2004,5300000.0
3,1.0,1.0,1965,1800000.0
3,2.5,2.0,2005,6190000.0
3,1.5,1.0,1962,2640000.0
2,2.25,1.5,1941,7300000.0
4,2.25,2.0,1975,4390000.0
4,1.75,1.0,1981,2685000.0
3,1.75,1.0,1985,3300000.0
3,2.5,1.5,1903,6400000.0
3,2.5,2.0,1978,9000000.0
3,2.25,2.0,1985,3700000.0
3,2.0,1.5,1931,6850000.0
3,1.5,1.0,1981,5050000.0
3,1.75,1.0,1966,2650000.0
3,2.5,2.0,2006,2900000.0
4,2.5,2.0,2006,2960000.0
4,2.5,2.0,1996,3600000.0
3,1.75,1.0,1997,2405000.0
2,2.5,2.0,2007,3725000.0
3,2.5,2.0,2004,5950000.0
4,3.0,2.0,1997,5150000.0
4,2.25,2.0,1962,12200000.0
2,1.75,1.0,2004,5070000.0
4,2.0,1.0,1984,3999500.0
3,1.75,2.0,1994,1850000.0
3,1.75,1.0,1980,4600000.0
3,2.25,2.0,1985,4355000.0
4,2.75,1.0,1966,4690000.0
2,3.0,2.0,2000,5310000.0
2,1.0,1.0,1949,4435000.0
3,2.0,1.0,1990,2230000.0
4,3.5,2.0,1996,5900000.0
2,2.5,3.0,1997,3400000.0
3,2.0,1.0,1925,6500000.0
3,2.5,2.0,1990,5336000.0
3,2.75,2.0,2005,6950000.0
3,1.75,1.5,1988,2420000.0
3,2.25,1.0,1967,4250000.0
3,2.25,2.0,1981,5250000.0
3,2.5,2.0,1988,4850000.0
3,1.0,1.0,1971,1750000.0
3,2.0,1.0,1983,2100000.0
3,2.5,2.0,1989,2600000.0
3,2.5,1.0,1976,5770000.0
3,1.5,1.0,1958,2000000.0
2,1.75,1.0,1927,6050000.0
3,1.0,1.0,1947,3250000.0
3,1.0,1.0,1944,2895000.0
3,2.5,3.0,2014,5599500.0
3,1.75,1.0,1941,10425000.0
3,2.25,1.0,1970,5435000.0
4,2.25,2.0,1983,4800000.0
3,1.0,1.0,1982,2180000.0
2,1.75,1.0,1914,5650000.0
3,1.75,1.0,1968,4267000.0
3,2.5,1.0,1957,6500000.0
2,1.0,1.0,1910,5420000.0
3,1.75,1.0,1977,4150000.0
3,1.0,1.0,1953,2140000.0
3,1.5,2.0,1949,2450000.0
3,2.0,1.0,1993,3145000.0
3,1.5,2.0,1924,11200000.0
2,2.0,1.0,1963,3780000.0
4,2.5,1.0,1982,3050000.0
5,2.75,1.0,1978,5950000.0
3,2.5,3.0,2015,7295000.0
3,2.5,2.0,2003,4300000.0
3,1.75,1.0,1987,2400000.0
3,1.75,1.5,1916,5450000.0
3,1.75,1.0,1918,5300000.0
1,1.0,1.0,1939,1570000.0
4,1.0,1.5,1925,4250000.0
3,1.0,1.0,1944,2200000.0
4,1.75,1.0,1976,5210000.0
3,1.0,1.0,1952,3250000.0
3,2.0,1.5,1911,5975000.0
3,2.5,2.0,1999,3370000.0
3,2.5,2.0,1991,10000000.0
3,2.5,1.0,1957,30700000.0
3,1.0,1.0,1943,4950000.0
4,3.5,2.0,2001,7480000.0
3,1.5,1.0,1953,8880000.0
3,1.75,1.0,1986,2699000.0
4,2.5,1.0,1967,4965000.0
3,2.5,2.0,1969,4750000.0
3,1.5,3.0,2004,3120000.0
3,1.0,1.0,1976,3230000.0
3,1.75,1.0,1986,3310000.0
3,1.5,3.0,2007,3060000.0
4,2.5,3.0,2002,6550000.0
3,1.5,1.0,1959,2900000.0
4,3.25,2.0,1965,12500000.0
3,1.75,1.0,1949,4600000.0
4,2.5,1.0,1940,4350000.0
4,2.75,1.0,1978,6640000.0
4,1.75,2.0,1921,8650000.0
3,1.75,1.0,1968,3850000.0
3,2.25,1.0,1975,4970000.0
2,1.0,1.0,1925,2800000.0
2,1.5,1.0,1924,1880000.0
3,1.0,1.0,1969,4785000.0
4,3.5,2.0,2001,11450000.0
3,2.0,1.0,1981,2220000.0
4,3.0,2.0,1984,7990000.0
4,2.5,2.0,2006,6099000.0
4,3.5,2.0,1995,4130000.0
4,1.0,1.5,1930,4000000.0
5,2.75,2.0,2014,8025410.0
3,2.5,2.0,1990,3200000.0
4,2.5,2.0,2006,5070000.0
3,1.0,1.0,1946,3875000.0
3,1.0,1.0,1967,3960000.0
3,1.75,1.0,1958,3730000.0
5,2.5,2.0,1965,14849000.0
4,2.25,2.0,1983,3599000.0
2,1.0,1.0,1927,4100000.0
4,2.5,2.0,1992,6900000.0
3,2.0,1.0,1985,2450000.0
5,2.5,1.0,1979,7000000.0
4,1.75,1.0,1977,2680000.0
3,1.75,1.0,1979,2250000.0
4,2.25,2.0,1976,9800000.0
2,1.0,1.5,1905,7950000.0
2,1.0,1.0,1953,1950000.0
4,2.0,1.0,1950,4800000.0
4,2.0,1.0,1900,4850000.0
2,1.0,1.0,1928,1300000.0
2,1.0,1.0,1946,3250000.0
3,1.75,1.0,1984,4400000.0
4,1.75,1.0,1958,5500000.0
3,1.75,1.0,1967,3100000.0
3,2.5,2.0,1989,5300000.0
4,2.5,2.0,1993,3900000.0
3,1.75,1.0,1981,2430000.0
4,2.5,2.0,1990,6390000.0
4,1.0,1.0,1969,2150000.0
5,1.75,1.0,1961,4050000.0
4,1.75,1.0,1968,2500000.0
3,1.5,1.0,1954,4055000.0
6,2.25,2.0,1937,4520000.0
6,2.25,2.0,1937,7300000.0
3,2.0,1.0,1994,2670000.0
3,2.5,2.0,2002,2899500.0
2,1.0,1.0,1911,5650000.0
4,3.25,2.0,1988,15780000.0
3,2.5,2.0,2007,6360000.0
5,3.0,1.0,2004,3500000.0
3,1.5,1.0,1978,3200000.0
2,1.75,1.0,1978,2100000.0
2,1.0,1.0,1950,2450000.0
3,1.75,1.0,1983,3280000.0
4,2.25,2.0,1989,9850000.0
3,1.75,1.0,1976,5010000.0
3,2.25,2.0,1992,3150000.0
3,2.75,2.0,2012,4030000.0
3,2.0,2.0,1934,5500000.0
